わんりょく	腕力
べったく	別宅
べっそう	別送
べっそう	別荘
べっせい	別姓
べつじん	別人
べつじょう	別状
べっしょう	別称
べっしゅ	別種
べっしつ	別室
べっし	蔑視
べっし	別紙
べっさつ	別冊
べっこう	別項
べっこ	別個
べっけん	別件
べつくち	別口
べっきょ	別居
べつぎ	別儀
べっき	別記
べっかん	別館
べっかん	別巻
べっかく	別格
べつ	別
へだて	隔て
へだた	隔た
へた	下手
へそまがり	へそ曲がり
へそ	臍
へさき	舳先
へきれき	霹靂
へきめん	壁面
へきとう	劈頭
へきち	僻地
へきそん	僻村
べきしゅうごう	冪集合
へきが	壁画
へきえき	辟易
へき	碧
へき	癖
へき	壁
へき	僻
ぺーじ	頁
へいわ	平和
へいろ	閉路
へいれつ	並列
へいりょく	兵力
へいりつ	並立
へいよう	併用
へいゆう	併有
へいゆ	平癒
へいや	平野
へいもん	閉門
へいめん	平面
へいめい	平明
へいみん	平民
へいまく	閉幕
へいぼん	平凡
へいほう	平方
へいほう	兵法
へいふく	平服
へいふく	平伏
べいはん	米飯
へいばん	平板
へいはん	平版
へいはつ	併発
へいばい	併売
へいねん	平年
へいねつ	平熱
へいどん	併呑
へいてん	閉店
へいてん	弊店
へいてい	閉廷
へいてい	平定
へいちょう	閉庁
へいち	並置
へいち	平地
へいたん	平坦
へいたい	兵隊
へいそん	併存
へいそく	閉塞
へいそ	平素
へいぜん	平然
へいせつ	併設
へいせい	平静
へいしん	並進
へいしん	平身
べいしょく	米食
へいじょう	閉場
へいじょう	平常
へいしょ	閉所
へいしゅうごう	閉集合
べいじゅ	米寿
へいしゃ	弊社
へいしゃ	兵舎
へいじつ	平日
べいしきしゅうきゅう	米式蹴球
へいじ	平時
へいし	兵士
へいざん	閉山
べいさく	米作
へいさ	閉鎖
へいこうせん	平行線
へいこうしへんけい	平行四辺形
へいごう	併合
へいこう	閉校
へいこう	閉口
へいこう	並行
へいこう	平衡
へいこう	平行
へいこう	併行
へいげん	平原
へいげい	睥睨
へいけい	閉経
へいけ	平家
べいぐん	米軍
へいきんてん	平均点
へいきんち	平均値
へいきん	平均
へいき	平気
へいき	兵器
へいき	併記
へいかん	閉館
へいがい	弊害
へいかい	閉会
べいか	米価
へいか	陛下
へいか	平価
へいおん	平穏
へいえき	兵役
へいえい	併映
へいい	平易
へいあん	平安
へい	塀
へい	兵
へい	丙
へ	減
へ	経
ぶんれつ	分裂
ぶんれい	文例
ぶんるい	分類
ぶんりょう	分量
ぶんりつ	分立
ぶんり	分離
ぶんらく	文楽
ぶんよ	分与
ぶんや	分野
ぶんめん	文面
ぶんめい	文明
ぶんみん	文民
ぶんみゃく	文脈
ふんまん	噴懣
ぶんまつ	文末
ふんまつ	粉末
ぶんぼうぐ	文房具
ぶんぽう	文法
ぶんぼ	分母
ぶんべん	分娩
ぶんべつ	分別
ふんべつ	分別
ふんぷん	紛々
ぶんぶつ	文物
ぶんぷ	分布
ぶんぶ	文武
ぶんぴつ	文筆
ぶんぴつ	分筆
ぶんぴつ	分泌
ふんぱん	噴飯
ふんぱつ	奮発
ぶんぱい	分配
ぶんぱ	分派
ふんば	踏ん張
ぶんのう	分納
ふんにゅう	粉乳
ふんどし	褌
ふんどう	分銅
ふんとう	奮闘
ぶんつう	文通
ぶんちゅう	文中
ぶんち	分置
ぶんだん	文壇
ぶんだん	分断
ぶんたん	分担
ぶんたい	文体
ぶんたい	分隊
ふんぞりかえ	ふんぞり返
ふんそう	紛争
ふんそう	扮装
ふんぜん	奮然
ふんぜん	憤然
ぶんせつ	文節
ぶんせつ	分節
ぶんせき	文責
ぶんせき	分析
ぶんすう	分数
ぶんすいれい	分水嶺
ふんすい	噴水
ぶんしん	分身
ふんしょく	粉飾
ぶんじょう	分譲
ぶんしょう	文章
ぶんしょ	文書
ふんしょ	焚書
ふんしゅつ	噴出
ぶんしゅう	文集
ぶんしゃ	分社
ふんしゃ	噴射
ぶんしつ	分室
ふんしつ	紛失
ぶんし	分詞
ぶんし	分子
ぶんさん	分散
ぶんさつ	分冊
ぶんさい	文才
ふんさい	粉砕
ぶんこつ	分骨
ぶんごう	文豪
ぶんこう	分校
ぶんご	文語
ぶんこ	文庫
ぶんけん	文献
ぶんげい	文藝
ぶんげい	文芸
ぶんけい	文系
ぶんけい	文型
ぶんけ	分家
ぶんぐ	文具
ぶんぎょう	分業
ぶんきょう	文教
ぶんき	分岐
ふんぎ	ふん切
ふんき	奮起
ふんき	噴気
ぶんかん	文官
ぶんかん	分館
ぶんかつ	分割
ぶんかざい	文化財
ぶんがくぶ	文学部
ぶんがく	文學
ぶんがく	文学
ぶんかい	分解
ぶんかい	分会
ふんがい	憤慨
ぶんか	文科
ぶんか	文化
ぶんか	分科
ぶんか	分化
ふんか	噴火
ぶんえん	分煙
ふんえん	噴煙
ふんいき	雰囲気
ぶんい	文意
ぶん	文
ぶん	分
ふん	糞
ふん	扮
ふん	憤
ふん	分
ふわらいどう	付和雷同
ふわたり	不渡り
ふわく	不惑
ふわ	不和
ふろしき	風呂敷
ふろく	付録
ふろう	浮浪
ふろう	不老
ふろう	不労
ぶろ	風呂
ふろ	風呂
ふれんぞく	不連続
ふれこ	触れ込
ぶれいこう	無礼講
ぶれい	無礼
ふれあい	ふれ合い
ふれあ	触れ合
ふれ	触れ
ふるわ	震わ
ふるや	古屋
ふるめかし	古めかし
ふるまい	振舞
ふるま	振る舞
ふるほん	古本
ふるび	古び
ふるて	古手
ふるす	古巣
ふるさと	古里
ふるくさ	古くさ
ふるぎ	古着
ふるえあが	震え上が
ふるえ	震え
ふるいわけ	ふるい分け
ふるいた	奮い立
ふるいおと	ふるい落と
ふるいおこ	奮い起こ
ぶるい	部類
ふるい	篩
ふる	篩
ふる	奮
ふる	震
ふる	振る
ふる	古
ふる	旧
ふりん	不倫
ふりわけ	振り分け
ぶりょく	武力
ふりょく	浮力
ふりょう	不良
ふりょう	不漁
ふりょ	不慮
ふりむ	振り向
ふりみだ	振り乱
ふりまわ	振り回
ふりま	振りま
ふりはら	振り払
ふりつけ	振付け
ふりつ	府立
ふりだし	振出
ふりだ	振り出
ふりだ	降り出
ふりそで	振袖
ふりそそ	降り注
ふりこみ	振込
ふりこ	振り込
ふりき	振り切
ふりがな	振り仮名
ふりかた	振り方
ふりかけ	振りかけ
ふりかか	降り掛か
ぶりかえ	ぶり返
ふりかえ	振替
ふりかえ	振り返
ふりかえ	振り替え
ふりえき	不利益
ぶり	鰤
ふり	不利
ふらん	腐乱
ふらん	不乱
ぶらさげ	ぶら下げ
ぶらさが	ぶら下が
ぶらく	部落
ぶらうんかん	ブラウン管
ぶらい	不頼
ふようど	腐葉土
ぶようじん	不用心
ふようい	不用意
ぶよう	舞踊
ふよう	浮揚
ふよう	扶養
ふよう	不要
ふよう	不用
ふよ	付与
ふゆやま	冬山
ふゆやすみ	冬休み
ふゆもの	冬物
ふゆふく	冬服
ふゆば	冬場
ふゆきとどき	不行届き
ふゆかい	不愉快
ふゆう	浮遊
ふゆう	富裕
ふゆ	冬
ふや	増や
ふや	殖や
ぶもん	部門
ふもん	不問
ふもと	麓
ふもう	不毛
ふめん	譜面
ふめつ	不滅
ふめいりょう	不明瞭
ふめいよ	不名誉
ふめいかく	不明確
ふめい	不明
ふむき	不向き
ふみん	不眠
ふみはず	踏み外
ふみにじ	踏みにじ
ふみとどま	踏みとどま
ふみつけ	踏みつけ
ふみづき	文月
ふみたお	踏み倒
ふみだい	踏台
ふみだ	踏み出
ふみこ	踏み込
ふみきり	踏切
ふみき	踏み切
ふみえ	踏み絵
ふみ	文
ふまん	不満
ふまえ	踏まえ
ふほんい	不本意
ふほう	訃報
ふほう	不法
ふぼ	父母
ふべん	不便
ふへん	普遍
ふへん	不変
ぶべつ	侮蔑
ふへい	不平
ぶぶん	部分
ふふく	不服
ふぶき	吹雪
ぶふうりゅう	無風流
ぶひん	部品
ふびん	不憫
ふびょうどう	不平等
ふひょう	歩兵
ふひょう	附票
ふひょう	付表
ふひょう	不評
ふひつよう	不必要
ぶひ	部費
ふび	不備
ふはつ	不発
ふはい	腐敗
ふはい	不敗
ふのう	不能
ふねん	不稔
ふねん	不燃
ぶね	船
ふね	船
ふね	舟
ふぬけ	腑抜け
ふにん	赴任
ふにん	不妊
ふにく	腐肉
ぶなん	無難
ふなれ	不慣れ
ふなよい	船酔い
ふなむし	舟虫
ふなびん	船便
ふなのり	船乗り
ふなに	船荷
ふなで	船出
ふなたび	船旅
ふなぞこ	船底
ふなくぎ	舟釘
ぶない	部内
ふない	府内
ぶな	椈
ぶな	山毛欅
ふな	鮒
ふとん	布団
ふとん	蒲団
ふとめ	太め
ぶどまり	歩留り
ぶどまり	歩留まり
ふとっぱら	太っ腹
ふとじ	太字
ふところで	懐手
ふところ	懐
ふとくい	不得意
ふとく	不徳
ふどうとく	不道徳
ふどうたい	不導体
ふどうさん	不動産
ぶどう	葡萄
ぶどう	武道
ふどう	浮動
ふどう	不同
ふどう	不動
ふとう	埠頭
ふとう	不等
ふとう	不当
ふと	太
ふでまめ	筆まめ
ふでぶしょう	筆不精
ふてぎわ	不手際
ふてきせつ	不適切
ふでき	不出来
ふてき	不適
ふてき	不敵
ふてい	不逞
ふてい	不定
ふてい	不貞
ふで	筆
ぶつりょう	物量
ぶつりょう	物療
ぶつりがく	物理学
ぶつり	物理
ぶつめつ	仏滅
ぶっぴん	物品
ぶっとお	ぶっ通
ぶつどう	仏道
ふっとう	沸騰
ぶっと	ぶっ飛
ふっと	ふっ飛
ふってん	沸点
ぶってき	物的
ふってい	払底
ふつつか	不束
ぶっちょうづら	仏頂面
ぶつだん	仏壇
ぶったぎ	ぶった切
ぶったい	物体
ぶっだ	仏陀
ぶつぞう	仏像
ぶっそう	物騒
ぶっせい	物性
ぶっしん	物心
ぶっしん	仏心
ぶっしょく	物色
ふっしょく	払拭
ぶっしょう	物証
ぶっしつ	物質
ぶっし	物資
ぶっし	仏師
ぶっさん	物産
ふっこく	復刻
ふつごう	不都合
ふっこう	復交
ふっこう	復興
ふっこ	復古
ぶっけん	物件
ふっけん	復権
ふっきん	腹筋
ぶっきょう	仏教
ふっきゅう	復旧
ふっきゅう	復仇
ぶつぎ	物議
ふづき	文月
ふっき	復帰
ふっき	吸っ切
ふっき	ふっ切
ふつかよい	宿酔い
ふっかつ	復活
ふっかけ	吸っ掛け
ふっかけ	ふっ掛け
ぶっかく	仏閣
ぶっか	物価
ふつか	二日
ふつか	2日
ふつか	２日
ふつう	普通
ふつう	不通
ぶつ	物
ぶちょう	部長
ふちょう	符丁
ふちょう	府庁
ふちょう	婦長
ふちょう	不調
ふちゅうい	不注意
ふちゃく	付着
ぶち	斑
ふち	淵
ふち	付置
ふち	縁
ふだんぎ	普段着
ふだん	普段
ふだん	不断
ふたん	負担
ふたりして	二人して
ふたり	二人
ふたば	双葉
ぶたにく	豚肉
ふたつ	二つ
ふたたび	再び
ふたご	双子
ふたく	負託
ふたく	付託
ふたえ	二重
ぶたい	部隊
ぶたい	舞台
ふだい	譜代
ふたい	付帯
ぶた	豚
ふだ	札
ふた	蓋
ふそん	不遜
ふそん	不尊
ふぞろい	不揃い
ふそくふり	不即不離
ぶぞく	部族
ぶそく	不足
ふぞく	附属
ふぞく	付属
ふそく	附則
ふそく	付則
ふそく	不足
ふそうおう	不相応
ぶそう	武装
ふそ	父祖
ふせんぱい	不戦敗
ふせんしょう	不戦勝
ふぜん	不全
ふせん	付箋
ふせん	不戦
ふせつ	敷設
ふせつ	付設
ふせじ	伏字
ふせじ	伏せ字
ふせき	布石
ふせいりつ	不成立
ふぜい	風情
ふせい	不斉
ふせい	不正
ふせい	不整
ふせい	不省
ふせ	防
ふせ	伏せ
ふせ	布施
ふせ	臥せ
ふすま	襖
ぶすう	部数
ふすう	負数
ぶすい	不粋
ふずい	付随
ふずい	不随
ふず	付図
ふしんにん	不信任
ふしんせつ	不親切
ふじん	婦人
ふじん	夫人
ふしん	腐心
ふしん	普請
ふしん	不振
ふしん	不審
ふしん	不信
ふじょし	婦女子
ふしょくふ	不織布
ぶじょく	侮辱
ふしょく	腐食
ふしょうふずい	夫唱婦随
ふしょうじ	不祥事
ぶしょう	武将
ぶしょう	不精
ふじょう	浮上
ふじょう	不浄
ふしょう	負傷
ふしょう	不詳
ぶしょ	部署
ぶしょ	部所
ふじょ	扶助
ふじょ	婦女
ふじゅん	不順
ふじゅん	不純
ふしゅび	不首尾
ふしゅつ	不出
ふじゅうぶん	不十分
ふじゅうぶん	不充分
ふじゆう	不自由
ふしゅう	腐臭
ぶしゅ	部首
ふしゃ	富者
ふしめ	節目
ふじみ	不死身
ふしまつ	不始末
ふしぶし	節々
ぶしつけ	不躾
ぶしつ	部室
ふしちょう	不死鳥
ふじちゃく	不時着
ふしぜん	不自然
ふしぎ	不思議
ふしあわせ	不幸せ
ぶじ	無事
ぶし	武士
ふじ	不治
ふじ	不時
ふじ	藤
ふし	節
ふさんせい	不賛成
ふさんか	不参加
ふさわし	相応し
ぶざま	不様
ぶさほう	無作法
ふさく	不作
ふさが	塞が
ふさいよう	不採用
ぶさいく	不細工
ふざい	不在
ふさい	負債
ふさい	夫妻
ふさ	房
ふさ	塞
ぶこつ	武骨
ふこころえ	不心得
ふこくきょうへい	富国強兵
ぶこく	誣告
ふこく	布告
ふごうり	不合理
ふこうへい	不公平
ふごうかく	不合格
ふごう	符合
ふごう	符号
ふごう	富豪
ふこう	不幸
ふこう	不孝
ふけんぜん	不健全
ふけんこう	不健康
ふげん	付言
ふけん	府県
ふけつ	不潔
ふけこ	老け込
ふけいざい	不経済
ふけいき	不景気
ふけい	父兄
ふけい	婦警
ふけ	老け
ふけ	耽
ふけ	更け
ふくろこうじ	袋小路
ふくろおび	袋帯
ふくろう	梟
ぶくろ	袋
ふくろ	復路
ふくろ	袋
ふくれ	膨れ
ふくり	複利
ふくり	福利
ふくら	膨ら
ふくようき	複葉機
ふくよう	服用
ふくやく	服薬
ふくめん	覆面
ふくめ	含め
ふくむ	服務
ふくまく	腹膜
ふくほん	複本
ふくほん	副本
ふくへい	伏兵
ふくびき	福引
ふくどく	服毒
ふくどく	副読
ふくつう	腹痛
ふくつ	不屈
ふぐたいてん	不倶載天
ふくだい	副題
ふくそすう	複素数
ふくぞく	服属
ふくそう	輻輳
ふくそう	服装
ふくせん	複線
ふくせん	伏線
ふくせい	複製
ふくすうこ	複数個
ふくすう	複数
ふくすい	覆水
ふくじんづけ	福神漬
ふくしん	腹心
ふくしん	副審
ふくしょく	服飾
ふくしょく	復職
ふくしょく	副食
ふくしょう	複勝
ふくしょう	復唱
ふくしょう	副賞
ふくしょう	副将
ふくじゅう	服従
ふくしゅう	復讐
ふくしゅう	復習
ふくしゃ	複写
ふくしき	複式
ふくしき	腹式
ふくじ	服地
ふくじ	副次
ふくし	福祉
ふくし	副詞
ふくさんぶつ	副産物
ふくさよう	副作用
ふくざつ	複雑
ふくさい	副菜
ふくごう	複合
ふくごう	復号
ふくげん	復元
ふくぎょう	副業
ふくかん	副官
ふくがく	復学
ふくえん	復縁
ふくえき	服役
ふぐう	不遇
ふくいん	福音
ふぐあい	不具合
ふぐ	鰒
ふぐ	河豚
ふく	福
ふく	服
ふく	復
ふく	伏
ふく	含
ふきんしん	不謹慎
ふきんこう	不均衡
ふきん	布巾
ふきん	付近
ぶきりょう	不器量
ぶきょく	部局
ぶぎょう	奉行
ぶきよう	不器用
ふきょう	布教
ふきょう	不況
ふきゅう	普及
ふきゅう	不朽
ふきゅう	不休
ぶきみ	不気味
ふきぬけ	吹抜け
ふきなが	吹き流
ふきとば	吹き飛ば
ふきと	拭き取
ふきでもの	吹出物
ふきつけ	吹き付け
ふきつ	不吉
ふきだまり	吹き溜り
ふきだ	吹き出
ふきそく	不規則
ふきそ	不起訴
ふきこ	吹き込
ふきげん	不機嫌
ふきかけ	吹きかけ
ふきかえ	吹替え
ふきかえ	吹き返
ふきあれ	吹き荒れ
ぶき	武器
ふぎ	付議
ふぎ	不義
ふき	蕗
ふき	附記
ふき	付記
ふかんぜん	不完全
ふかんしょう	不感症
ふかんしょう	不干渉
ぶかん	武官
ふかん	俯瞰
ふかめ	深め
ふかま	深ま
ふかぶん	不可分
ふかぶかと	深々と
ふかひ	不可避
ふかのう	不可能
ふかつ	賦活
ぶかちょう	部課長
ふかち	不可知
ふかしん	不可侵
ふかしぎ	不可思議
ふかけつ	不可欠
ふかく	俯角
ふかく	不覚
ふかぎゃく	不可逆
ふかかい	不可解
ぶがいひ	部外秘
ぶがい	部外
ぶかい	部会
ふかい	不快
ぶか	部下
ふか	鱶
ふか	鯊
ふか	負荷
ふか	府下
ふか	付加
ふか	不可
ふか	深
ふか	蒸か
ふか	更か
ふおん	不穏
ぶえんりょ	無遠慮
ふえん	敷衍
ふえて	不得手
ふえい	府営
ふえ	笛
ふえ	増え
ふえ	殖え
ふうん	不運
ふうりん	風鈴
ふうりょく	風力
ふうりゅう	風流
ふうみ	風味
ふうぼう	風防
ふうぼう	風貌
ふうぶつし	風物詩
ふうぶつ	風物
ふうふ	夫婦
ふうどう	風洞
ふうとう	封筒
ふうど	風土
ふうてい	風体
ふうちょう	風潮
ふうたい	風袋
ふうぞく	風俗
ふうそく	風速
ふうせん	風船
ふうせつ	風雪
ふうしん	風疹
ふうしょ	封書
ふうしゅう	風習
ふうしゃ	風車
ふうじこめ	封じ込め
ふうじこ	封じ込
ふうし	諷刺
ふうし	風刺
ふうさつ	封殺
ふうさい	風采
ふうさ	封鎖
ふうこう	風向
ふうこう	風光
ふうけい	風景
ふうきり	封切り
ふうきょう	風狂
ふうぎ	封切
ふうき	風紀
ふうき	封切
ふうき	富貴
ふうがわり	風変わり
ふうかく	風格
ふうが	風雅
ふうか	風化
ふううん	風雲
ふうう	風雨
ふういん	封印
ふうあつ	風圧
ふう	風
ふう	封
ぶいん	部員
ふいっち	不一致
ふいちょう	吹聴
ふい	不意
ふあんてい	不安定
ふあん	不安
ぶあつ	分厚
ぶあいそう	無愛想
ぶあい	歩合
ぶ	分
ぶ	部
ふ	麸
ふ	噴
ふ	伏
ふ	葺
ふ	附
ふ	賦
ふ	負
ふ	譜
ふ	符
ふ	府
ふ	付
ふ	踏
ふ	践
ふ	吹
ふ	振
ふ	拭
ふ	降
ふ	臥
びんわん	敏腕
びんらん	便覧
ひんもく	品目
ひんめい	品名
ひんみん	貧民
びんぼう	貧乏
ひんぷ	貧富
ひんぱん	頻繁
ひんぱつ	頻発
ひんば	牝馬
ひんど	頻度
びんぞこ	瓶底
びんそく	敏速
ひんそう	貧相
びんせん	便箋
ひんせい	品性
びんじょう	便乗
びんしょう	憫笑
びんしょう	敏捷
ひんしゅつ	頻出
ひんしゅく	顰蹙
ひんしゅ	品種
ひんじゃく	貧弱
ひんじゃ	貧者
ひんしつ	品質
ひんし	瀕死
ひんし	品詞
ひんこん	貧困
ひんこう	品行
ひんけつ	貧血
ひんきゅう	殯宮
ひんきゅう	貧窮
ひんきゃく	賓客
びんかん	敏感
ひんかく	品格
ひんい	品位
びん	壜
びん	便
びん	瓶
ひん	貧
ひん	瀕
ひん	品
ひわれ	干割れ
ひわり	日割
びわ	琵琶
ひわ	秘話
ひろめ	広め
ひろま	広間
ひろま	広ま
ひろびろ	広々
ひろば	広場
ひろげ	広げ
ひろが	広が
ひろうえん	披露宴
びろう	尾篭
ひろう	疲労
ひろう	披露
ひろ	汎
ひろ	拾
ひろ	広
ひれん	悲恋
ひれふ	ひれ伏
ひれつ	卑劣
ひれき	披瀝
ひれい	比例
ひれ	鰭
ひるやすみ	昼休み
ひるめし	昼飯
ひるま	昼間
ひるね	昼寝
ひるげ	昼餉
ひるがえ	翻
ひるい	比類
ひる	蛭
ひる	昼
ひる	怯
びりょく	微力
ひりょく	臂力
ひりょく	非力
びりょう	微量
ひりょう	肥料
びりゅう	微粒
ひりつ	比率
ひりき	非力
ひらめ	鮃
ひらめ	閃
ひらた	平た
ひらぞこ	平底
ひらきなお	開き直
ひらきなお	開きなお
ひらがな	平仮名
ひらおよぎ	平泳ぎ
ひらいしん	避雷針
ひらい	避雷
ひらあやまり	平謝り
ひら	開
ひよわ	ひ弱
びより	日和
ひより	日和
ひよどり	鵯
びよく	尾翼
ひよく	肥沃
ひょうろん	評論
ひょうろう	兵糧
びょうれき	病歴
ひょうりゅう	漂流
びょうり	病理
ひょうり	表裏
ひょうめんは	表面波
ひょうめん	表面
びょうめい	病名
ひょうめい	表明
びょうま	病魔
ひょうほん	標本
びょうぼつ	病没
ひょうぼう	標榜
ひょうへん	豹変
びょうぶ	屏風
ひょうひ	表皮
ひょうばん	評判
ひょうはく	漂白
ひょうはく	漂泊
びょうにん	病人
びょうどう	平等
びょうとう	病棟
ひょうど	表土
ひょうでん	評伝
ひょうでん	票田
ひょうてん	評点
ひょうてん	氷点
びょうてき	病的
ひょうてき	標的
ひょうてい	評定
ひょうてい	標定
ひょうちゃく	漂着
ひょうたん	瓢箪
ひょうだい	表題
びょうそく	秒速
ひょうそく	平仄
びょうそう	病巣
ひょうそう	表層
ひょうせつ	剽窃
びょうしん	秒針
びょうしん	病身
びょうじょう	病状
びょうしょう	病床
ひょうじょう	評定
ひょうじょう	表情
ひょうしょう	表象
ひょうしょう	表彰
ひょうじゅんけい	標準形
ひょうじゅんか	標準化
ひょうじゅん	標準
ひょうしゅつ	表出
びょうじゃく	病弱
ひょうしゃく	評釈
びょうしゃ	描写
びょうしつ	病室
ひょうしき	標識
びょうし	病死
ひょうじ	表示
ひょうし	表紙
ひょうし	拍子
ひょうざん	氷山
ひょうさつ	表札
ひょうこう	標高
ひょうご	標語
びょうげんきん	病源菌
びょうげんきん	病原菌
びょうげん	病原
ひょうげん	評言
ひょうげん	表現
ひょうげん	氷原
びょうけつ	病欠
ひょうけつ	表決
ひょうけつ	票決
ひょうけい	表敬
ひょうきん	剽軽
びょうき	病気
ひょうぎ	評議
ひょうき	表記
ひょうき	標記
ひょうかん	慓悍
ひょうかい	氷解
びょうが	描画
ひょうが	氷河
ひょうか	評価
ひょうおん	表音
びょういん	病院
ひょうい	憑依
ひょうい	表意
びよう	美容
びょう	鋲
びょう	秒
ひよう	費用
ひょう	雹
ひょう	豹
ひょう	評
ひょう	表
ひょう	票
ひょう	氷
ひょう	標
ひゆうり	非有理
ひゆ	比喩
ひややっこ	冷奴
ひややか	冷やか
ひやむぎ	冷麦
ひゃっかりょうらん	百花繚乱
ひゃっかてん	百貨店
ひゃっか	百科
ひやけ	日焼け
びゃくや	白夜
ひゃくめんそう	百面相
ひゃくぶんりつ	百分率
ひゃくぶん	百聞
ひゃくしょう	百姓
びやく	媚薬
ひやく	飛躍
ひゃく	百
ひやか	冷やか
ひやあせ	冷汗
ひや	冷や
ひもの	干物
ひもと	火元
ひもく	費目
ひも	紐
ひめん	罷免
びめい	美名
ひめい	悲鳴
ひめ	姫
ひめ	秘め
びみょう	微妙
ひみつ	秘密
びまん	瀰漫
ひまん	肥満
ひまわり	向日葵
ひまつ	飛抹
ひましゆ	ひまし油
ひまく	皮膜
ひま	暇
ひぼん	非凡
びぼうろく	備忘録
びぼう	美貌
ひぼう	誹謗
ひほう	秘法
ひほう	秘宝
ひほう	悲報
ひへい	疲弊
ひぶん	非文
ひふん	悲憤
ひぶた	火蓋
ひふく	被服
ひぶ	日歩
ひふ	皮膚
びひん	備品
ひびわれ	ひび割れ
ひひょう	批評
びびし	美々し
ひびか	響か
びび	微々
ひび	日々
ひび	響
ひばん	非番
ひはん	批判
ひばり	雲雀
ひばな	火花
ひばち	火鉢
ひばしら	火柱
ひばく	被曝
ひのと	丁
ひので	日の出
ひのこ	火の粉
ひのき	桧
ひのえ	丙
びねつ	微熱
ひね	捻
ひにん	避妊
ひにん	否認
ひにょうき	泌尿器
ひにょう	泌尿
ひにち	日日
ひにち	日にち
ひにく	皮肉
びなん	美男
ひなん	非難
ひなん	避難
ひなわじゅう	火縄銃
ひなた	日向
ひな	雛
ひとりぼっち	一人ぼっち
ひとりっこ	一人っ子
ひとりじめ	独り占め
ひとりじめ	一人占め
ひとりごと	独り言
ひどり	日取り
ひとり	独り
ひとり	一人
ひとみ	瞳
ひとまわり	一回り
ひとまく	一幕
ひとまえ	人前
ひとびと	人々
ひとびと	人びと
ひとばん	一晩
ひとはだ	人肌
ひとはだ	一肌
ひとなみ	人並
ひととき	一時
ひととおり	一通り
ひとで	人出
ひとで	人手
ひとづま	人妻
ひとつ	一つ
ひとちがい	人違い
ひとたび	一度
ひとたち	人達
ひとすじなわ	一筋縄
ひとすじ	一筋
ひとしなみ	等し並み
ひとじち	人質
ひとし	等し
ひとし	均し
ひとさわがせ	人騒がせ
ひとさらい	人攫い
ひとさらい	人拐い
ひとざと	人里
ひとさしゆび	人差指
ひところ	一頃
ひとごみ	人混み
ひとごみ	人込み
ひとごと	他人事
ひとごと	人事
ひとこと	一言
ひどけい	日時計
ひとくち	一口
びとく	美徳
ひとく	秘匿
ひとぎき	人聞き
ひとがら	人柄
ひとかたならぬ	一方ならぬ
ひとかたならず	一方ならず
ひとかげ	人影
ひとえ	単
ひとえ	一重
ひどうき	非同期
ひとう	秘湯
ひといちばい	人一倍
ひとあし	一足
ひど	酷
ひと	他人
ひと	人
びてん	美点
ひでん	秘伝
ひでり	日照り
ひてつ	非鉄
びてき	美的
ひてい	否定
ひつよう	必要
ひづめ	蹄
ひっぱり	引張
ひっぱく	逼迫
ひっぱ	引っ張
ひつどく	必読
ひっとう	筆頭
ひってき	匹敵
ひっちょう	必聴
ひっちゅう	必中
ひっちゃく	必着
ひっち	筆致
ひつだん	筆談
ひっそく	逼塞
ひつぜん	必然
ひつぜつ	筆舌
ひっせき	筆跡
ひっせい	畢生
ひっす	必須
ひつじょう	必定
ひっしょう	必勝
ひつじゅん	筆順
ひっしゅう	必修
ひつじゅ	必需
ひっしゃ	筆者
ひっしゃ	筆写
ひつじどし	未年
ひつじ	羊
ひつじ	未
ひっし	必至
ひっし	必死
ひっさつ	必殺
ひっこみ	引込み
ひっこし	引越し
ひっこう	筆耕
ひっこ	引っ込
ひっこ	引っ越
ひっけん	必見
ひっけい	必携
ひづけ	日付
ひっくるめ	引っくるめ
ひっくりかえ	ひっくり返
ひっきょう	畢竟
ひつぎ	棺
ひっき	筆記
ひっかけ	引っかけ
ひっかか	引っかか
ひっか	筆禍
ひっか	引っか
ひつう	悲痛
ひつあつ	筆圧
ひちゅう	秘中
ひだんけいし	避弾経始
びだん	美談
ひたん	悲嘆
ひだりめ	左目
ひだりて	左手
ひだりした	左下
ひだりがわ	左側
ひだりうで	左腕
ひだりうえ	左上
ひだりあし	左足
ひだり	左
ひだまり	日溜り
ひだち	肥立ち
ひだい	肥大
ひたい	額
ひだ	襞
ひた	浸
ひそめ	顰め
ひそめ	潜め
びそく	微速
ひぞく	卑属
ひぞく	卑俗
ひそか	密か
ひそか	秘か
ひそか	窃か
ひぞう	脾臓
ひぞう	秘蔵
ひそう	皮相
ひそう	悲壮
ひそ	顰
ひそ	砒素
ひそ	潜
ひせんけい	非線形
ひせん	卑賤
ひせん	卑賎
ひぜに	日銭
びせきぶん	微積分
ひず	歪
びじん	美人
びしん	微震
ひじり	聖
びしょく	美食
ひじょうしき	非常識
ひじょうぐち	非常口
びしょう	微笑
びしょう	微小
ひじょう	非情
ひじょう	非常
ひしょう	飛翔
びじょ	美女
ひしょ	避暑
ひしょ	秘書
ひじゅん	批准
びじゅつかん	美術館
びじゅつ	美術
ひじゅつ	秘術
びしゅう	美醜
ひじゅう	比重
びしゅ	美酒
ひしゃたい	被写体
びじゃく	微弱
ひしゃく	柄杓
ひしゃ	飛車
びしつ	美質
ひしがた	菱形
びし	微視
ひじ	肘
ひじ	肱
ひし	菱
ひさん	飛散
ひさん	悲惨
ひさびさ	久々
